constraint
"(153, None, 840, None)"
"(153, None, 2499, None)"
"(154, None, 5006, None)"
"(154, None, 7655, None)"
"(154, None, 332, None)"
"(155, None, 6270, None)"
"(155, None, 5010, None)"
"(155, None, 5006, None)"
"(156, None, 3203, None)"
"(156, None, 800, None)"
"(156, None, 3184, None)"
"(157, None, 2499, None)"
"(157, None, 6906, None)"
"(157, None, 5006, None)"
"(158, None, 6270, None)"
"(158, None, 5010, None)"
"(158, None, 6906, None)"
"(159, None, 5180, None)"
"(159, None, 335, None)"
"(159, None, 7449, None)"
"(160, None, 6270, None)"
"(160, None, 840, None)"
"(160, None, 2499, None)"
"(161, None, 2499, None)"
"(161, None, 5010, None)"
"(161, None, 6906, None)"
"(162, None, 840, None)"
"(162, None, 5006, None)"
"(162, None, 4717, None)"
"(163, None, 6270, None)"
"(163, None, 840, None)"
"(163, None, 2499, None)"
"(164, None, 1910, None)"
"(164, None, 1252, None)"
"(164, None, 1833, None)"
"(165, None, 7655, None)"
"(165, None, 5319, None)"
"(165, None, 800, None)"
"(166, None, 840, None)"
"(166, None, 2499, None)"
"(166, None, 6906, None)"
"(167, None, 6270, None)"
"(167, None, 840, None)"
"(167, None, 2499, None)"
"(168, None, 7655, None)"
"(168, None, 2683, None)"
"(168, None, 800, None)"
"(169, None, 7655, None)"
"(169, None, 5319, None)"
"(169, None, 800, None)"
"(170, None, 2683, None)"
"(170, None, 800, None)"
"(170, None, 332, None)"
"(171, None, 5319, None)"
"(171, None, 6335, None)"
"(171, None, 63, None)"
"(172, None, 63, None)"
"(172, None, 335, None)"
"(172, None, 7449, None)"
"(173, None, 840, None)"
"(173, None, 2499, None)"
"(173, None, 5010, None)"
"(174, None, 840, None)"
"(174, None, 2499, None)"
"(174, None, 5010, None)"
"(175, None, 3184, None)"
"(175, None, 4253, None)"
"(175, None, 7449, None)"
"(176, None, 4717, None)"
"(176, None, 2683, None)"
"(176, None, 4253, None)"
"(177, None, 7655, None)"
"(177, None, 4717, None)"
"(177, None, 3184, None)"
"(178, None, 840, None)"
"(178, None, 2499, None)"
"(178, None, 5010, None)"
"(179, None, 3184, None)"
"(179, None, 6335, None)"
"(179, None, 1168, None)"
"(180, None, 6270, None)"
"(180, None, 840, None)"
"(180, None, 2499, None)"
"(181, None, 840, None)"
"(181, None, 5010, None)"
"(181, None, 4717, None)"
"(182, None, 840, None)"
"(182, None, 2499, None)"
"(182, None, 3203, None)"
"(183, None, 5010, None)"
"(183, None, 5006, None)"
"(183, None, 3203, None)"
"(184, None, 335, None)"
"(184, None, 4253, None)"
"(184, None, 6696, None)"
"(185, None, 840, None)"
"(185, None, 5010, None)"
"(185, None, 5006, None)"
"(186, None, 6270, None)"
"(186, None, 840, None)"
"(186, None, 2499, None)"
"(187, None, 2499, None)"
"(187, None, 6906, None)"
"(187, None, 3203, None)"
"(188, None, 7655, None)"
"(188, None, 5319, None)"
"(188, None, 6276, None)"
"(189, None, 5319, None)"
"(189, None, 3184, None)"
"(189, None, 6335, None)"
"(190, None, 1168, None)"
"(190, None, 6654, None)"
"(190, None, 1511, None)"
"(191, None, 5010, None)"
"(191, None, 3203, None)"
"(191, None, 5319, None)"
"(192, None, 5010, None)"
"(192, None, 6906, None)"
"(192, None, 3203, None)"
"(193, None, 2856, None)"
"(193, None, 1329, None)"
"(193, None, 3497, None)"
"(194, None, 840, None)"
"(194, None, 2499, None)"
"(194, None, 5010, None)"
"(195, None, 6270, None)"
"(195, None, 840, None)"
"(195, None, 2499, None)"
"(196, None, 2499, None)"
"(196, None, 5006, None)"
"(196, None, 3203, None)"
"(197, None, 840, None)"
"(197, None, 2499, None)"
"(197, None, 5010, None)"
"(198, None, 6270, None)"
"(198, None, 5010, None)"
"(198, None, 6906, None)"
"(199, None, 840, None)"
"(199, None, 2499, None)"
"(199, None, 6906, None)"
"(200, None, 840, None)"
"(200, None, 2499, None)"
"(200, None, 2683, None)"
"(201, None, 6270, None)"
"(201, None, 840, None)"
"(201, None, 2499, None)"
"(202, None, 6270, None)"
"(202, None, 840, None)"
"(202, None, 2499, None)"
"(203, None, 840, None)"
"(203, None, 2683, None)"
"(203, None, 5319, None)"
"(204, None, 840, None)"
"(204, None, 5010, None)"
"(204, None, 4717, None)"
"(205, None, 6270, None)"
"(205, None, 840, None)"
"(205, None, 2499, None)"
"(206, None, 6270, None)"
"(206, None, 840, None)"
"(206, None, 2499, None)"
"(207, None, 5010, None)"
"(207, None, 5319, None)"
"(207, None, 3184, None)"
"(208, None, 6276, None)"
"(208, None, 4623, None)"
"(208, None, 1252, None)"
"(209, None, 5010, None)"
"(209, None, 5006, None)"
"(209, None, 3203, None)"
"(210, None, 5006, None)"
"(210, None, 3203, None)"
"(210, None, 7655, None)"
"(211, None, 5006, None)"
"(211, None, 6335, None)"
"(211, None, 63, None)"
"(212, None, 7655, None)"
"(212, None, 4717, None)"
"(212, None, 5319, None)"
"(213, None, 840, None)"
"(213, None, 2499, None)"
"(213, None, 5010, None)"
"(214, None, 6270, None)"
"(214, None, 840, None)"
"(214, None, 2499, None)"
"(215, None, 5010, None)"
